,model_id,auc,logloss,mean_per_class_error,rmse,mse
0,StackedEnsemble_BestOfFamily_AutoML_20190416_132510,0.8579333573571177,0.15786316105289047,0.3409392163647324,0.20170648781874448,0.04068550722817331
1,StackedEnsemble_AllModels_AutoML_20190416_132510,0.8579274151587256,0.15774544821989814,0.3408376013571708,0.201668300321333,0.04067010335449536
2,GBM_grid_1_AutoML_20190416_132510_model_3,0.8492605139004412,0.20940709054366669,0.3861135587580286,0.23029042288854898,0.05303367887418674
3,DRF_1_AutoML_20190416_132510,0.8476786938583487,0.17680231513363676,0.34578072495639994,0.20160866074598865,0.04064605208779114
4,GBM_4_AutoML_20190416_132510,0.8457621982746314,0.15927666484690764,0.3482735796335863,0.20303304183115453,0.04122241607521135
5,XRT_1_AutoML_20190416_132510,0.8421546862157253,0.17370242014000745,0.3623830138229195,0.20260194644010712,0.04104754870132004
6,GBM_3_AutoML_20190416_132510,0.8361085847281676,0.1629903661419345,0.3694096548839475,0.2052164030840314,0.042113772094747655
7,GBM_5_AutoML_20190416_132510,0.835679662163482,0.16500481821953036,0.3822040959368614,0.20712156402823165,0.04289934228550086
8,GBM_2_AutoML_20190416_132510,0.8352637765771653,0.1654581381031931,0.4083687138883384,0.20777218959723076,0.0431692827700276
9,GBM_1_AutoML_20190416_132510,0.8247812946561331,0.1697474173076617,0.43079026764890976,0.2101856850647696,0.044178022206146486
10,GBM_grid_1_AutoML_20190416_132510_model_4,0.8092955158395104,0.19073925580671744,0.440736858896557,0.22194721435718312,0.04926056596091339
11,GBM_grid_1_AutoML_20190416_132510_model_1,0.7406002959078196,0.22524765773114525,0.5,0.23109763913349085,0.05340611881307316
12,GBM_grid_1_AutoML_20190416_132510_model_2,0.7315814133088578,0.20012766990046132,0.4883128824948709,0.2265610286166356,0.05132989968782796
13,GBM_grid_1_AutoML_20190416_132510_model_5,0.7059768475558372,0.20797000805468174,0.4893554224199555,0.2289411643135785,0.05241405671725698
14,DeepLearning_1_AutoML_20190416_132510,0.5787056129732807,0.22193727997652699,0.5,0.23326762161263584,0.05441378329281585
15,DeepLearning_grid_1_AutoML_20190416_132510_model_2,0.5487035898937822,0.2583857344121759,0.5,0.2354387996632273,0.055431428386861284
16,GLM_grid_1_AutoML_20190416_132510_model_1,0.5225910515546498,0.22097924308847253,0.5,0.2335166566542058,0.05453002893495823
17,DeepLearning_grid_1_AutoML_20190416_132510_model_1,0.5217442882837743,0.2612691017645366,0.5,0.23840723659887966,0.056838010462714174
18,DeepLearning_grid_1_AutoML_20190416_132510_model_3,0.5185728618706614,0.3210373390535785,0.5,0.2388809269185982,0.05706409724548865
